wall_t,loop_idx,infer_ms,loop_dt_ms,loop_hz,e2e_latency_ms,detected,vision_fps
1781860859.036054,85,0.000,21.766,45.943,0.000,0,7.499
1781860859.057653,86,0.000,21.599,46.298,0.000,0,7.413
1781860859.079390,87,0.000,21.736,46.006,0.000,0,7.329
1781860859.101213,88,0.000,21.823,45.824,0.000,0,7.246
1781860859.122910,89,106.400,21.697,46.089,121.820,1,7.677
1781860859.144642,90,0.000,21.733,46.014,0.000,0,7.593
1781860859.166290,91,0.000,21.647,46.195,0.000,0,7.510
1781860859.187871,92,0.000,21.582,46.335,0.000,0,7.430
1781860859.209445,93,0.000,21.573,46.354,0.000,0,7.352
1781860859.230924,94,0.000,21.480,46.556,0.000,0,7.275
1781860859.252616,95,106.441,21.692,46.100,125.782,1,7.679
1781860859.274412,96,0.000,21.796,45.880,0.000,0,7.600
1781860859.296031,97,0.000,21.618,46.257,0.000,0,7.522
1781860859.317654,98,0.000,21.624,46.246,0.000,0,7.447
1781860859.339305,99,0.000,21.651,46.187,0.000,0,7.372
1781860859.360942,100,0.000,21.637,46.217,0.000,0,7.300
1781860859.382797,101,105.356,21.854,45.757,130.388,1,7.679
1781860859.404561,102,0.000,21.764,45.947,0.000,0,7.605
1781860859.426257,103,0.000,21.697,46.090,0.000,0,7.532
1781860859.447906,104,0.000,21.649,46.192,0.000,0,7.460
1781860859.469682,105,0.000,21.776,45.922,0.000,0,7.389
1781860859.491416,106,106.156,21.734,46.011,114.138,1,7.751
1781860859.513185,107,0.000,21.769,45.938,0.000,0,7.679
1781860859.534786,108,0.000,21.601,46.293,0.000,0,7.609
1781860859.556267,109,0.000,21.481,46.553,0.000,0,7.540
1781860859.577794,110,0.000,21.527,46.453,0.000,0,7.473
1781860859.599534,111,0.000,21.740,45.999,0.000,0,7.406
1781860859.621266,112,105.412,21.732,46.015,119.040,1,7.748
1781860859.642919,113,0.000,21.653,46.183,0.000,0,7.680
1781860859.664567,114,0.000,21.648,46.193,0.000,0,7.614
1781860859.686169,115,0.000,21.602,46.293,0.000,0,7.548
1781860859.707783,116,0.000,21.614,46.267,0.000,0,7.484
