wall_t,loop_idx,infer_ms,loop_dt_ms,loop_hz,e2e_latency_ms,detected,vision_fps
1781860349.780104,0,10880.880,0.000,0.000,10885.825,1,0.088
1781860359.724540,1,9825.822,9944.437,0.101,9830.348,1,0.094
1781860370.196124,2,9763.517,10471.584,0.095,9767.808,1,0.094
1781860380.661523,3,9734.016,10465.399,0.096,9738.236,1,0.095
1781860391.191248,4,9789.810,10529.725,0.095,9794.167,1,0.095
